date,temperature_2m,rain,precipitation_probability,relative_humidity_2m,wind_speed_10m
2026-05-15 00:00:00-07:00,9.298,0.0,10.0,87.0,13.281023
2026-05-15 01:00:00-07:00,9.048,0.0,9.0,82.0,11.212135
2026-05-15 02:00:00-07:00,8.598,0.0,10.0,86.0,5.8048253
2026-05-15 03:00:00-07:00,8.998,0.0,3.0,85.0,12.641076
2026-05-15 04:00:00-07:00,8.448,0.0,6.0,86.0,14.182355
2026-05-15 05:00:00-07:00,7.998,0.0,6.0,84.0,11.4862
2026-05-15 06:00:00-07:00,7.798,0.0,13.0,91.0,9.885262
2026-05-15 07:00:00-07:00,8.198,0.0,14.0,87.0,17.709658
2026-05-15 08:00:00-07:00,9.298,0.0,12.0,84.0,17.076298
2026-05-15 09:00:00-07:00,9.948,0.0,18.0,79.0,16.267857
2026-05-15 10:00:00-07:00,9.798,0.1,26.0,82.0,17.727943
2026-05-15 11:00:00-07:00,9.898,0.0,49.0,82.0,18.875126
2026-05-15 12:00:00-07:00,10.048,0.1,57.0,77.0,16.075521
2026-05-15 13:00:00-07:00,9.798,0.0,54.0,83.0,19.513195
2026-05-15 14:00:00-07:00,9.748,0.0,82.0,82.0,18.998316
2026-05-15 15:00:00-07:00,10.198,0.0,64.0,78.0,20.808498
2026-05-15 16:00:00-07:00,10.198,0.0,47.0,81.0,22.104116
2026-05-15 17:00:00-07:00,10.048,0.0,48.0,82.0,21.749481
2026-05-15 18:00:00-07:00,9.848,0.1,38.0,80.0,19.855558
2026-05-15 19:00:00-07:00,10.198,0.0,30.0,79.0,14.707222
2026-05-15 20:00:00-07:00,8.248,1.0,27.0,85.0,22.406927
2026-05-15 21:00:00-07:00,7.698,0.3,30.0,85.0,8.311245
2026-05-15 22:00:00-07:00,7.848,0.0,23.0,88.0,5.3999996
2026-05-15 23:00:00-07:00,7.348,0.90000004,20.0,89.0,8.534353
2026-05-16 00:00:00-07:00,7.498,0.0,20.0,90.0,3.0758414
2026-05-16 01:00:00-07:00,7.398,0.0,28.0,90.0,7.729527
2026-05-16 02:00:00-07:00,6.748,0.0,27.0,86.0,6.193674
2026-05-16 03:00:00-07:00,7.048,0.0,31.0,87.0,11.304229
2026-05-16 04:00:00-07:00,6.148,0.0,21.0,87.0,7.491114
2026-05-16 05:00:00-07:00,6.248,0.0,20.0,88.0,9.085988
2026-05-16 06:00:00-07:00,6.398,0.0,19.0,91.0,9.178235
2026-05-16 07:00:00-07:00,7.248,0.0,16.0,90.0,7.24486
2026-05-16 08:00:00-07:00,8.148,0.0,10.0,84.0,7.9932966
2026-05-16 09:00:00-07:00,9.248,0.0,8.0,77.0,4.39436
2026-05-16 10:00:00-07:00,9.998,0.0,9.0,72.0,3.6179552
2026-05-16 11:00:00-07:00,10.448,0.0,13.0,72.0,13.246826
2026-05-16 12:00:00-07:00,10.898,0.0,17.0,69.0,13.849477
2026-05-16 13:00:00-07:00,10.848,0.0,32.0,68.0,15.7908325
2026-05-16 14:00:00-07:00,11.098,0.4,46.0,70.0,18.218275
2026-05-16 15:00:00-07:00,10.198,2.2,49.0,73.0,11.019764
2026-05-16 16:00:00-07:00,10.248,0.0,43.0,72.0,13.32
2026-05-16 17:00:00-07:00,10.948,0.0,33.0,73.0,9.114471
2026-05-16 18:00:00-07:00,11.148,0.0,35.0,71.0,8.4042845
2026-05-16 19:00:00-07:00,8.998,1.8,36.0,88.0,14.007655
2026-05-16 20:00:00-07:00,8.698,0.0,20.0,82.0,6.9153743
2026-05-16 21:00:00-07:00,7.748,0.0,7.0,89.0,6.6185193
2026-05-16 22:00:00-07:00,7.848,0.0,7.0,90.0,11.966953
2026-05-16 23:00:00-07:00,7.298,0.0,2.0,90.0,9.0
2026-05-17 00:00:00-07:00,6.848,0.0,2.0,90.0,7.072878
2026-05-17 01:00:00-07:00,6.198,0.0,2.0,89.0,6.725354
2026-05-17 02:00:00-07:00,5.798,0.0,2.0,91.0,7.42159
2026-05-17 03:00:00-07:00,6.498,0.0,2.0,89.0,11.5199995
2026-05-17 04:00:00-07:00,6.598,0.0,1.0,89.0,9.72
2026-05-17 05:00:00-07:00,6.698,0.0,1.0,89.0,8.825508
2026-05-17 06:00:00-07:00,6.648,0.0,0.0,89.0,9.47012
2026-05-17 07:00:00-07:00,7.448,0.0,0.0,88.0,9.36
2026-05-17 08:00:00-07:00,8.648,0.0,0.0,86.0,9.0645685
2026-05-17 09:00:00-07:00,10.035999,0.0,0.0,82.75,5.002089
2026-05-17 10:00:00-07:00,11.198999,0.0,0.0,74.5,1.4512063
2026-05-17 11:00:00-07:00,11.5245,0.0,0.0,70.75,2.6713479
2026-05-17 12:00:00-07:00,11.75,0.0,0.0,66.0,5.1544156
2026-05-17 13:00:00-07:00,16.35,0.0,0.0,49.0,1.9386592
2026-05-17 14:00:00-07:00,16.05,0.0,0.0,46.0,5.2416787
2026-05-17 15:00:00-07:00,16.25,0.0,0.0,44.0,5.8603754
2026-05-17 16:00:00-07:00,17.25,0.0,0.0,41.0,7.2359104
2026-05-17 17:00:00-07:00,17.15,0.0,0.0,40.0,7.42159
2026-05-17 18:00:00-07:00,16.65,0.0,0.0,41.0,6.9899354
2026-05-17 19:00:00-07:00,15.65,0.0,0.0,47.0,5.8048253
2026-05-17 20:00:00-07:00,13.15,0.0,0.0,57.0,5.937272
2026-05-17 21:00:00-07:00,11.15,0.0,0.0,61.0,5.8603754
2026-05-17 22:00:00-07:00,10.15,0.0,0.0,63.0,5.04
2026-05-17 23:00:00-07:00,9.45,0.0,0.0,65.0,3.9763298
